id,category,name,mainIngredients,subIngredients,seasonings,externalProvider,externalLinkType,externalUrl,note
13,국·찌개,부대찌개,"햄, 소시지, 김치","라면사리, 두부, 대파, 치즈","고추장, 고춧가루, 다진마늘, 간장",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
14,국·찌개,동태찌개,동태,"무, 두부, 대파, 콩나물","고춧가루, 국간장, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%8F%99%ED%83%9C%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
15,국·찌개,꽃게탕,꽃게,"무, 대파, 애호박, 두부","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%BD%83%EA%B2%8C%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
16,국·찌개,매운탕,"생선, 무","콩나물, 대파, 미나리, 두부","국간장, 소금, 다진마늘, 고춧가루",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%A7%A4%EC%9A%B4%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
17,국·찌개,어묵탕,"어묵, 무","대파, 곤약, 버섯","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%96%B4%EB%AC%B5%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
18,국·찌개,북엇국,"북어채, 계란","무, 대파, 두부","국간장, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%B6%81%EC%97%87%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
19,국·찌개,소고기무국,"소고기, 무","대파, 버섯","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%86%8C%EA%B3%A0%EA%B8%B0%EB%AC%B4%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
20,국·찌개,미역국,미역,"소고기, 참치, 조개","국간장, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%AF%B8%EC%97%AD%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
21,국·찌개,소고기미역국,"미역, 소고기",대파,"국간장, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%86%8C%EA%B3%A0%EA%B8%B0%EB%AF%B8%EC%97%AD%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
22,국·찌개,참치미역국,"미역, 참치캔",대파,"국간장, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%B0%B8%EC%B9%98%EB%AF%B8%EC%97%AD%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
23,국·찌개,들깨미역국,"미역, 들깨가루","버섯, 두부","국간장, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%93%A4%EA%B9%A8%EB%AF%B8%EC%97%AD%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
24,국·찌개,콩나물국,콩나물,"대파, 청양고추","국간장, 소금, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
25,국·찌개,김치콩나물국,"김치, 콩나물","대파, 두부","국간장, 소금, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B9%80%EC%B9%98%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
26,국·찌개,계란국,계란,"대파, 양파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%84%EB%9E%80%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
27,국·찌개,떡국,떡국떡,"계란, 대파, 김가루","국간장, 소금, 후추",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%96%A1%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
28,국·찌개,떡만둣국,"떡국떡, 만두","계란, 대파, 김가루","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%96%A1%EB%A7%8C%EB%91%A3%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
29,국·찌개,만둣국,만두,"계란, 대파, 떡국떡","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%A7%8C%EB%91%A3%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
30,국·찌개,육개장,"소고기, 대파","숙주, 고사리, 버섯, 계란","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%9C%A1%EA%B0%9C%EC%9E%A5&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
31,국·찌개,닭개장,"닭고기, 대파","숙주, 고사리, 버섯","소금, 후추",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%8B%AD%EA%B0%9C%EC%9E%A5&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
32,국·찌개,삼계탕,"닭고기, 찹쌀","대추, 마늘, 인삼","소금, 후추, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%82%BC%EA%B3%84%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
33,국·찌개,갈비탕,소갈비,"무, 대파, 당면","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B0%88%EB%B9%84%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
34,국·찌개,설렁탕,"사골육수, 소고기","소면, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%84%A4%EB%A0%81%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
35,국·찌개,곰탕,"사골육수, 소고기","대파, 소면","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%B0%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
36,국·찌개,감자탕,"돼지등뼈, 감자","우거지, 깻잎, 대파","된장, 고춧가루, 다진마늘, 들깨가루",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B0%90%EC%9E%90%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
37,국·찌개,닭곰탕,닭고기,"대파, 당면, 무","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%8B%AD%EA%B3%B0%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
38,국·찌개,아욱된장국,"아욱, 된장","두부, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%95%84%EC%9A%B1%EB%90%9C%EC%9E%A5%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
39,국·찌개,시래기된장국,"시래기, 된장","두부, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%8B%9C%EB%9E%98%EA%B8%B0%EB%90%9C%EC%9E%A5%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
40,국·찌개,배추된장국,"배추, 된장","두부, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%B0%B0%EC%B6%94%EB%90%9C%EC%9E%A5%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
41,국·찌개,냉이된장국,"냉이, 된장","두부, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%83%89%EC%9D%B4%EB%90%9C%EC%9E%A5%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
42,국·찌개,우거지국,"우거지, 된장","소고기, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%9A%B0%EA%B1%B0%EC%A7%80%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
43,국·찌개,오징어무국,"오징어, 무","대파, 청양고추","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%98%A4%EC%A7%95%EC%96%B4%EB%AC%B4%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
44,국·찌개,홍합탕,홍합,"대파, 청양고추","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%ED%99%8D%ED%95%A9%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
45,국·찌개,조개탕,조개,"무, 대파, 청양고추","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%A1%B0%EA%B0%9C%ED%83%95&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
46,국·찌개,굴국,"굴, 무","두부, 대파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B5%B4%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
47,국·찌개,돼지고기짜글이,"돼지고기, 김치","감자, 양파, 대파","고추장, 고춧가루, 간장, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%8F%BC%EC%A7%80%EA%B3%A0%EA%B8%B0%EC%A7%9C%EA%B8%80%EC%9D%B4&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
48,국·찌개,햄찌개,"햄, 김치","두부, 양파, 대파","고춧가루, 국간장, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%ED%96%84%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
49,국·찌개,소고기배추국,"소고기, 배추","대파, 버섯","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%86%8C%EA%B3%A0%EA%B8%B0%EB%B0%B0%EC%B6%94%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
50,국·찌개,감자국,감자,"계란, 대파, 양파","국간장, 소금, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B0%90%EC%9E%90%EA%B5%AD&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
51,반찬,계란말이,계란,"대파, 당근, 양파, 햄","소금, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%84%EB%9E%80%EB%A7%90%EC%9D%B4&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
52,반찬,계란찜,계란,"대파, 당근, 새우젓","소금, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%84%EB%9E%80%EC%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
53,반찬,계란장조림,계란,"꽈리고추, 마늘","간장, 설탕, 맛술, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%84%EB%9E%80%EC%9E%A5%EC%A1%B0%EB%A6%BC&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
54,반찬,메추리알장조림,메추리알,"꽈리고추, 마늘","간장, 설탕, 맛술, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%A9%94%EC%B6%94%EB%A6%AC%EC%95%8C%EC%9E%A5%EC%A1%B0%EB%A6%BC&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
55,반찬,두부조림,두부,"대파, 양파","간장, 설탕, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%91%90%EB%B6%80%EC%A1%B0%EB%A6%BC&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
56,반찬,두부부침,두부,"대파, 양념장","소금, 식용유, 간장",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%91%90%EB%B6%80%EB%B6%80%EC%B9%A8&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
57,반찬,어묵볶음,어묵,"양파, 당근, 대파","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%96%B4%EB%AC%B5%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
58,반찬,매운어묵볶음,어묵,"청양고추, 양파, 대파","간장, 다진마늘, 참기름, 식용유, 고춧가루",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%A7%A4%EC%9A%B4%EC%96%B4%EB%AC%B5%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
59,반찬,감자채볶음,감자,"양파, 당근, 햄","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B0%90%EC%9E%90%EC%B1%84%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
60,반찬,감자조림,감자,"양파, 당근","간장, 설탕, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B0%90%EC%9E%90%EC%A1%B0%EB%A6%BC&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
61,반찬,멸치볶음,멸치,"견과류, 꽈리고추","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%A9%B8%EC%B9%98%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
62,반찬,잔멸치볶음,잔멸치,"견과류, 통깨","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%9E%94%EB%A9%B8%EC%B9%98%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
63,반찬,고추장멸치볶음,"멸치, 고추장","견과류, 꽈리고추","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%A0%EC%B6%94%EC%9E%A5%EB%A9%B8%EC%B9%98%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
64,반찬,진미채볶음,진미채,"마요네즈, 통깨","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%A7%84%EB%AF%B8%EC%B1%84%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
65,반찬,명엽채볶음,명엽채,통깨,"간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%AA%85%EC%97%BD%EC%B1%84%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
66,반찬,콩나물무침,콩나물,"대파, 당근","고춧가루, 식초, 설탕, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%BD%A9%EB%82%98%EB%AC%BC%EB%AC%B4%EC%B9%A8&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
67,반찬,숙주나물무침,숙주,"대파, 당근","고춧가루, 식초, 설탕, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%88%99%EC%A3%BC%EB%82%98%EB%AC%BC%EB%AC%B4%EC%B9%A8&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
68,반찬,시금치나물,시금치,"대파, 통깨","국간장, 소금, 참기름, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%8B%9C%EA%B8%88%EC%B9%98%EB%82%98%EB%AC%BC&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
69,반찬,오이무침,오이,"양파, 부추","고춧가루, 식초, 설탕, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%98%A4%EC%9D%B4%EB%AC%B4%EC%B9%A8&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
70,반찬,오이소박이,"오이, 부추","당근, 양파","소금, 후추",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%98%A4%EC%9D%B4%EC%86%8C%EB%B0%95%EC%9D%B4&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
71,반찬,무생채,무,"대파, 통깨","소금, 후추",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%AC%B4%EC%83%9D%EC%B1%84&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
72,반찬,가지볶음,가지,"양파, 대파","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B0%80%EC%A7%80%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
73,반찬,애호박볶음,애호박,"양파, 새우젓","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%95%A0%ED%98%B8%EB%B0%95%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
74,반찬,버섯볶음,버섯,"양파, 당근","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%B2%84%EC%84%AF%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
75,반찬,김치볶음,김치,"참치캔, 돼지고기, 대파","간장, 다진마늘, 참기름, 식용유",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
